file_name, maze_dim, upper_benchmark, lower_benchmark, score
./generated_mazes/18/maze_63_ub-30.6_lb-19.8.txt, 18, 30.6, 19.8, 15.600
./generated_mazes/18/maze_64_ub-30.6_lb-19.8.txt, 18, 30.6, 19.8, 20.700
./generated_mazes/18/maze_65_ub-33.6_lb-22.8.txt, 18, 33.6, 22.8, 1033.33333333
./generated_mazes/18/maze_66_ub-34.6_lb-23.8.txt, 18, 34.6, 23.8, 24.233
./generated_mazes/18/maze_67_ub-30.6_lb-19.8.txt, 18, 30.6, 19.8, 21.433
./generated_mazes/18/maze_68_ub-34.6_lb-23.8.txt, 18, 34.6, 23.8, 1033.33333333
./generated_mazes/18/maze_69_ub-35.6_lb-24.8.txt, 18, 35.6, 24.8, 21.533
./generated_mazes/18/maze_70_ub-33.6_lb-22.8.txt, 18, 33.6, 22.8, 19.167
./generated_mazes/18/maze_71_ub-33.6_lb-22.8.txt, 18, 33.6, 22.8, 20.567
./generated_mazes/18/maze_72_ub-35.6_lb-24.8.txt, 18, 35.6, 24.8, 19.367
./generated_mazes/18/maze_73_ub-36.6_lb-25.8.txt, 18, 36.6, 25.8, 1033.33333333
./generated_mazes/18/maze_74_ub-30.6_lb-19.8.txt, 18, 30.6, 19.8, 13.767
./generated_mazes/18/maze_75_ub-32.6_lb-21.8.txt, 18, 32.6, 21.8, 18.100
./generated_mazes/18/maze_76_ub-36.6_lb-25.8.txt, 18, 36.6, 25.8, 24.533
./generated_mazes/18/maze_77_ub-32.6_lb-21.8.txt, 18, 32.6, 21.8, 18.267
./generated_mazes/18/maze_78_ub-32.6_lb-21.8.txt, 18, 32.6, 21.8, 21.933
./generated_mazes/18/maze_79_ub-32.6_lb-21.8.txt, 18, 32.6, 21.8, 17.700
./generated_mazes/18/maze_80_ub-34.6_lb-23.8.txt, 18, 34.6, 23.8, 23.233
./generated_mazes/18/maze_81_ub-30.6_lb-19.8.txt, 18, 30.6, 19.8, 12.833
./generated_mazes/18/maze_82_ub-30.6_lb-19.8.txt, 18, 30.6, 19.8, 10.733
./generated_mazes/18/maze_83_ub-30.6_lb-19.8.txt, 18, 30.6, 19.8, 14.567
./generated_mazes/18/maze_84_ub-35.6_lb-24.8.txt, 18, 35.6, 24.8, 26.133
./generated_mazes/18/maze_85_ub-35.6_lb-24.8.txt, 18, 35.6, 24.8, 19.467
./generated_mazes/18/maze_86_ub-28.6_lb-17.8.txt, 18, 28.6, 17.8, 16.100
./generated_mazes/18/maze_87_ub-31.6_lb-20.8.txt, 18, 31.6, 20.8, 22.900
./generated_mazes/18/maze_88_ub-30.6_lb-19.8.txt, 18, 30.6, 19.8, 16.700
./generated_mazes/18/maze_89_ub-32.6_lb-21.8.txt, 18, 32.6, 21.8, 17.300
./generated_mazes/18/maze_90_ub-29.6_lb-18.8.txt, 18, 29.6, 18.8, 11.567
./generated_mazes/18/maze_91_ub-36.6_lb-25.8.txt, 18, 36.6, 25.8, 25.533
./generated_mazes/18/maze_92_ub-37.6_lb-26.8.txt, 18, 37.6, 26.8, 25.200
./generated_mazes/18/maze_93_ub-33.6_lb-22.8.txt, 18, 33.6, 22.8, 20.333
./generated_mazes/18/maze_94_ub-36.6_lb-25.8.txt, 18, 36.6, 25.8, 28.233
./generated_mazes/18/maze_95_ub-36.6_lb-25.8.txt, 18, 36.6, 25.8, 20.400
./generated_mazes/18/maze_96_ub-39.6_lb-28.8.txt, 18, 39.6, 28.8, 20.867
./generated_mazes/18/maze_97_ub-33.6_lb-22.8.txt, 18, 33.6, 22.8, 22.400
./generated_mazes/18/maze_98_ub-29.6_lb-18.8.txt, 18, 29.6, 18.8, 16.167
./generated_mazes/18/maze_99_ub-31.6_lb-20.8.txt, 18, 31.6, 20.8, 17.300
